Alarm Code,Unit,Level,Description,Type
1,0,2,F001 Air source pressure error.,2
2,0,2,F002 Vacuum source pressure error.,2
3,0,2,F003 N2 source pressure error.,2
4,0,1,F004,6
5,0,2,F005 Door open.,1
6,0,2,F006 Touch panel emergency stop.,1
7,0,1,F007 ,6
8,0,1,F008,6
9,0,1,F009,6
10,0,1,F010,6
11,0,1,F011,6
12,0,1,F012,6
13,0,1,F013,6
14,0,1,F014,6
15,0,1,F015,6
16,0,1,F016,6
17,0,1,F017,6
18,0,1,F018,6
19,0,1,F019,6
20,0,2,F020 Initial timeout.,2
21,0,2,F021 Stage XY axis initial timeout.,2
22,0,2,F022 The ink stage axis initial timeout.,2
23,0,2,F023 Table S axis initial timeout.,2
24,0,2,F024 The ink head axis initial timeout.,2
25,0,2,F025 Mirror initial timeout.,2
26,0,2,F026 Object Lens XY axis initial timeout.,2
27,0,2,F027 Laser initial timeout.,2
28,0,2,F028 The light control initial timeout.,2
29,0,1,F029 ,6
30,0,2,F030 Grinding parameter writing timeout.,2
31,0,1,F031,6
32,0,1,F032,6
33,0,1,F033,6
34,0,1,F034,6
35,0,1,F035,6
36,0,2,F036 Glass clamp not origin position.,2
37,0,2,F037 Repair head not origin position.,2
38,0,1,F038,6
39,0,1,F039,6
40,0,1,F040 PLC Battery low voltage.,6
41,0,2,F041 PLC operation error.,2
42,0,1,F042 PLC blown output unit fuse.,6
43,0,1,F043,6
44,0,1,F044 AC/DC down.,6
45,0,2,F045 A/D Converter unit error.,2
46,0,2,F046 CC-Link abnormality.,2
47,0,2,F047 CC-Link data link error occurred.,2
48,0,2,F048 CC-Link remote input and output error occurred.,2
49,0,1,F049,6
50,0,2,F050 D75P2 (Station No.30-33) Ready Signal OFF.,2
51,0,2,F051 D75P2 (Station No.5-8) Ready Signal OFF.,2
52,0,2,F052 D75P2 (Station No.9-12) Ready Signal OFF.,2
53,0,2,F053 D75P2 (Station No.36-39) Ready Signal OFF.,2
54,0,1,F054 Stage in sample glass or laser power meter area.,6
55,0,1,F055 Stage in VLSI area.,6
56,0,1,F056 Heartbeat Check Fail T1 timeout,6
57,0,1,F057 Heartbeat Check Fail T2 timeout,6
58,0,1,F058 Load glass T1 timeout.,6
59,0,1,F059 Load glass T2 timeout.,6
60,0,1,F060 Load glass T3 timeout.,6
61,0,1,F061 Load glass T4 timeout.,6
