AlarmCode,Unit,Level,Description,Type
1,0,1,001 [CIM]Glass ID Error,6
2,0,1,"002 [CIM]Recipe Check-Recipe can not be used,Show GlassModify",6
3,0,1,003 [CIM]Result is NG (when SampleGlassFlag=1)   ,6
4,0,1,004 [CIM]Result data Save To Server Path ERROR,6
5,0,1,005 [CIM]Result data Save To Local Path ERROR ,6
6,0,1,006 [CIM]Result data Save To Daily Path ERROR,6
11,0,1,011 [CIM]Load:   Robot interface T2 time out ,6
12,0,1,012 [CIM]Load:   Robot interface T3 time out ,6
13,0,1,013 [CIM]Load:   Robot interface T4 time out,6
14,0,1,014 [CIM]Load:   Robot interface T6 time out ,6
15,0,1,015 [CIM]UnLoad: Robot interface T2 time out   ,6
16,0,1,016 [CIM]UnLoad: Robot interface T3 time out   ,6
17,0,1,017 [CIM]UnLoad: Robot interface T4 time out    ,6
18,0,1,018 [CIM]UnLoad: Robot interface T6 time out,6
19,0,1,019 [CIM]Exchange:Robot interface T2 time out    ,6
20,0,1,020 [CIM]Exchange:Robot interface T3 time out     ,6
21,0,1,021 [CIM]Exchange:Robot interface T4 time out      ,6
22,0,1,022 [CIM]Exchange:Robot interface T6 time out,6
31,0,1,031 [CIM]Link Request T2 time out,6
32,0,1,032 [CIM]EPPID Modify T1 time out,6
33,0,1,033 [CIM]EPPID Modify T3 time out,6
34,0,1,034 [CIM]EPPID Check T2 time out ,6
35,0,1,035 [CIM]Glass Erase T1 time out ,6
36,0,1,036 [CIM]Glass Erase T3 time out ,6
37,0,1,037 [CIM]Transfer Reset T2 time out  ,6
39,0,2,039 [CIM]Net H Break ,2
41,0,1,041 [CIM]Glass over spec      ,6
42,0,2,"042 [CIM]Glass Load/Unload/Exchange request illegal,STOP!",2
43,0,2,"043 [CIM]Load Request,but glass exist",2
44,0,2,044 [CIM]UnLoad request but glass not exist       ,2
45,0,2,"045 [CIM]Load Complete,but glass not exist",2
46,0,2,046 [CIM]UnLoad Complete but glass exist ,2
47,0,1,"047 [CIM]Glass Exist,Unload or Remeasure",6
