AlarmCode,Unit,Level,Description,Type
1,0,1,[CIM]Glass ID Error                                        ,6
2,0,1,"[CIM]Recipe Check - Recipe can not be used,Show GlassModify",6
3,0,1,[CIM]Result is NG (when SampleGlassFlag=1)                 ,6
4,0,1,[CIM]Result data Save To Server Path ERROR                 ,6
5,0,1,[CIM]Result data Save To Local Path ERROR                  ,6
6,0,1,[CIM]Result data Save To Daily Path ERROR                  ,6
7,0,0,,0
8,0,0,,0
9,0,0,,0
10,0,0,,0
11,0,1,[CIM]Load:   Robot interface T2 time out ,6
12,0,1,[CIM]Load:   Robot interface T3 time out ,6
13,0,1,[CIM]Load:   Robot interface T4 time out ,6
14,0,1,[CIM]Load:   Robot interface T6 time out ,6
15,0,1,[CIM]UnLoad: Robot interface T2 time out ,6
16,0,1,[CIM]UnLoad: Robot interface T3 time out ,6
17,0,1,[CIM]UnLoad: Robot interface T4 time out ,6
18,0,1,[CIM]UnLoad: Robot interface T6 time out ,6
19,0,1,[CIM]Exchange:Robot interface T2 time out,6
20,0,1,[CIM]Exchange:Robot interface T3 time out,6
21,0,1,[CIM]Exchange:Robot interface T4 time out,6
22,0,1,[CIM]Exchange:Robot interface T6 time out,6
23,0,0,,0
24,0,0,,0
25,0,0,,0
26,0,0,,0
27,0,0,,0
28,0,0,,0
29,0,0,,0
30,0,0,,0
31,0,1,[CIM]Link Request T2 time out  ,6
32,0,1,[CIM]EPPID Modify T1 time out  ,6
33,0,1,[CIM]EPPID Modify T3 time out  ,6
34,0,1,[CIM]EPPID Check T2 time out   ,6
35,0,1,[CIM]Glass Erase T1 time out   ,6
36,0,1,[CIM]Glass Erase T3 time out   ,6
37,0,1,[CIM]Transfer Reset T2 time out,6
38,0,0,,0
39,0,2,[CIM]Net H Break,2
40,0,0,,0
41,0,1,[CIM]Glass over spec                                  ,6
42,0,2,"[CIM]Glass Load/Unload/Exchange request illegal,STOP !",2
43,0,2,"[CIM]Load Request,but glass exist                     ",2
44,0,2,[CIM]UnLoad request but glass not exist               ,2
45,0,2,"[CIM]Load Complete,but glass not exist                ",2
46,0,2,[CIM]UnLoad Complete but glass exist                  ,2
47,0,1,"[CIM]Glass Exist,Unload or Remeasure                  ",6
48,0,0,,0
49,0,2,"[CIM]Glass sheet exist,glass data lost                          ",2
50,0,2,"[CIM]Glass data exist,glass sheet lost                          ",2
51,0,2,[CIM] WM_REQ_GLASS_LOAD: LOAD ENABLE Sensor is not ON           ,2
52,0,2,[CIM] WM_REQ_GLASS_LOAD: PIN UP Sensor is not ON                ,2
53,0,2,[CIM] WM_REQ_GLASS_LOAD: GLASS ON WHEN PIN UP Sensor is not OFF ,2
54,0,2,[CIM] WM_REQ_GLASS_UNLOAD: UNLOAD ENABLE Sensor is not ON       ,2
55,0,2,[CIM] WM_REQ_GLASS_UNLOAD: PIN UP Sensor is not ON              ,2
56,0,2,[CIM] WM_REQ_GLASS_UNLOAD: GLASS ON WHEN PIN UP Sensor is not ON,2
57,0,2,[CIM] Load Complete: Robot in machine                           ,2
58,0,2,[CIM] Load Complete: GLASS ON WHEN PIN UP Sensor is not ON      ,2
59,0,2,[CIM] UnLoad Complete: Robot in machine                         ,2
60,0,2,[CIM] UnLoad Complete: GLASS ON WHEN PIN UP Sensor is not OFF   ,2
61,0,2,[CIM] Communication between PSIS and CIM is Disconnect          ,2
62,0,0,,0
63,0,0,,0
64,0,0,,0
65,0,0,,0
66,0,0,,0
67,0,0,,0
68,0,0,,0
69,0,0,,0
70,0,0,,0
71,0,0,,0
72,0,0,,0
73,0,0,,0
74,0,0,,0
75,0,0,,0
76,0,0,,0
77,0,0,,0
78,0,0,,0
79,0,0,,0
80,0,0,,0
81,0,0,,0
82,0,0,,0
83,0,0,,0
84,0,0,,0
85,0,0,,0
86,0,0,,0
87,0,0,,0
88,0,0,,0
89,0,0,,0
90,0,0,,0
91,0,0,,0
92,0,0,,0
93,0,0,,0
94,0,0,,0
95,0,0,,0
96,0,0,,0
97,0,0,,0
98,0,0,,0
99,0,0,,0
100,0,0,,0
101,0,2,[GENERAL] BROKEN GLASS IS FOUND,2
102,0,2,[GENERAL] FAIL TO LOAD GLASS FILE,2
103,0,2,[GENERAL] FAIL TO LOAD CALIBRATION FILE,2
104,0,2,[GENERAL] INVALID RECIPE IS SELECTED,2
105,0,0,,0
106,0,2,[GENERAL] EMERGENCY STOP IS PRESSED.,2
107,0,2,[GENERAL] LOADER EMERGENCY STOP IS PRESSED.,2
108,0,2,[GENERAL] FAIL TO LOAD JUDGE RULE FILE,2
109,0,2,[GENERAL] DOOR INTERLOCK IS DETECTED,2
110,0,0,,0
111,0,2,[READY] FAIL TO MOVE TO SAFE POSITION,2
112,0,0,,0
113,0,0,,0
114,0,0,,0
115,0,0,,0
116,0,0,,0
117,0,0,,0
118,0,0,,0
119,0,0,,0
120,0,0,,0
121,0,2,[LOAD] NOT SAFE CONDITION FOUND IN ROBOT OPERATION,2
122,0,2,[LOAD] GLASS DATA IS NOT PROPER,2
123,0,2,[LOAD] TIMEOUT OCCURRED DURING LOAD,2
124,0,2,[LOAD] FAIL TO LOAD VCR BATCHRUN FILE,2
125,0,2,[LOAD] FAIL TO DO VCR BATCHRUN,2
126,0,2,[LOAD] FAIL TO READ VCR OR OCR,2
127,0,2,[LOAD] FAIL TO READ DEFECT MAP FILE,2
128,0,0,,0
129,0,0,,0
